using NODE-APCbatch size: (1186,)	loss:69.49377
batch size: (1145,)	loss:82.73486
batch size: (1324,)	loss:83.79404
batch size: (647,)	loss:81.72679
batch size: (415,)	loss:81.63257
batch size: (958,)	loss:87.71609
batch size: (863,)	loss:84.311165
batch size: (609,)	loss:84.25045
batch size: (1600,)	loss:85.14793
batch size: (1574,)	loss:83.71839
batch size: (1553,)	loss:83.250435
batch size: (1578,)	loss:88.7156
batch size: (993,)	loss:88.50117
batch size: (766,)	loss:85.808556
batch size: (243,)	loss:78.78484
batch size: (515,)	loss:88.39412
batch size: (1208,)	loss:80.825485
batch size: (1559,)	loss:82.797554
batch size: (400,)	loss:82.55286
batch size: (1116,)	loss:83.27797
batch size: (1407,)	loss:85.49225
batch size: (992,)	loss:84.67074
batch size: (1351,)	loss:87.51765
batch size: (656,)	loss:85.89896
batch size: (1087,)	loss:86.80006
batch size: (1250,)	loss:86.985565
batch size: (1360,)	loss:84.116135
batch size: (1552,)	loss:74.05128
batch size: (1336,)	loss:76.92201
batch size: (1429,)	loss:72.64095
batch size: (1372,)	loss:76.84717
batch size: (1122,)	loss:73.354195
batch size: (1351,)	loss:74.44264
batch size: (1295,)	loss:76.95454
batch size: (1397,)	loss:76.17249
batch size: (1374,)	loss:72.887245
batch size: (1291,)	loss:78.7602
batch size: (1353,)	loss:77.64604
batch size: (1074,)	loss:71.229935
batch size: (1377,)	loss:81.689026
batch size: (1339,)	loss:76.99186
batch size: (1479,)	loss:78.5049
batch size: (1443,)	loss:80.49768
batch size: (522,)	loss:71.49059
batch size: (1341,)	loss:80.76988
batch size: (502,)	loss:78.79161
batch size: (1064,)	loss:80.198586
batch size: (1600,)	loss:79.33678
batch size: (1274,)	loss:76.77635
batch size: (1451,)	loss:82.55068
batch size: (1414,)	loss:77.589584
batch size: (550,)	loss:73.37193
batch size: (1116,)	loss:73.19294
batch size: (772,)	loss:74.27699
batch size: (905,)	loss:79.19103
batch size: (428,)	loss:79.74603
batch size: (278,)	loss:72.87701
batch size: (1534,)	loss:77.3135
batch size: (735,)	loss:80.105354
batch size: (886,)	loss:84.26398
batch size: (1335,)	loss:80.36005
batch size: (692,)	loss:83.11351
batch size: (828,)	loss:78.537025
batch size: (669,)	loss:79.8511
batch size: (1330,)	loss:77.13471
batch size: (1055,)	loss:76.29088
batch size: (996,)	loss:76.79759
batch size: (1092,)	loss:77.729996
batch size: (1439,)	loss:78.34253
batch size: (1035,)	loss:81.44465
batch size: (1226,)	loss:79.26109
batch size: (1468,)	loss:81.27081
batch size: (1113,)	loss:77.10453
batch size: (1600,)	loss:78.04795
batch size: (1579,)	loss:81.802795
batch size: (588,)	loss:81.68808
batch size: (743,)	loss:84.44722
batch size: (472,)	loss:80.78583
batch size: (266,)	loss:82.53195
batch size: (625,)	loss:79.22787
batch size: (233,)	loss:84.67528
batch size: (1335,)	loss:83.80578
batch size: (1493,)	loss:81.28615
batch size: (826,)	loss:79.60534
batch size: (314,)	loss:79.38271
batch size: (401,)	loss:80.59837
batch size: (335,)	loss:79.79385
batch size: (952,)	loss:79.14124
batch size: (969,)	loss:79.95281
batch size: (574,)	loss:79.09183
batch size: (1141,)	loss:78.351524
batch size: (293,)	loss:81.10473
batch size: (1576,)	loss:75.49143
batch size: (380,)	loss:78.97014
batch size: (1277,)	loss:79.30305
batch size: (974,)	loss:80.24769
batch size: (1497,)	loss:77.16827
batch size: (952,)	loss:75.93597
batch size: (417,)	loss:79.7862
batch size: (1043,)	loss:74.726715
batch size: (322,)	loss:75.09919
batch size: (1505,)	loss:78.21411
